Product,Start,End,Granularity
BTC-USD,2021-02-01T00:00:00Z,Now,60
ETH-USD,2021-02-01T00:00:00Z,Now,60
NMR-USD,2021-02-01T00:00:00Z,Now,60
SNX-USD,2021-02-01T00:00:00Z,Now,60
ZRX-USD,2021-02-01T00:00:00Z,Now,60
LTC-USD,2021-02-01T00:00:00Z,Now,60
LRC-USD,2021-02-01T00:00:00Z,Now,60
UNI-USD,2021-02-01T00:00:00Z,Now,60
EOS-USD,2021-02-01T00:00:00Z,Now,60
REN-USD,2021-02-01T00:00:00Z,Now,60
DAI-USD,2021-02-01T00:00:00Z,Now,60
REP-USD,2021-02-01T00:00:00Z,Now,60
NU-USD,2021-02-01T00:00:00Z,Now,60
DASH-USD,2021-02-01T00:00:00Z,Now,60
ATOM-USD,2021-02-01T00:00:00Z,Now,60
ZEC-USD,2021-02-01T00:00:00Z,Now,60
COMP-USD,2021-02-01T00:00:00Z,Now,60
LINK-USD,2021-02-01T00:00:00Z,Now,60
BAND-USD,2021-02-01T00:00:00Z,Now,60
KNC-USD,2021-02-01T00:00:00Z,Now,60
ALGO-USD,2021-02-01T00:00:00Z,Now,60
GRT-USD,2021-02-01T00:00:00Z,Now,60
AAVE-USD,2021-02-01T00:00:00Z,Now,60
ETC-USD,2021-02-01T00:00:00Z,Now,60
FIL-USD,2021-02-01T00:00:00Z,Now,60
XTZ-USD,2021-02-01T00:00:00Z,Now,60
WBTC-USD,2021-02-01T00:00:00Z,Now,60
MKR-USD,2021-02-01T00:00:00Z,Now,60
OXT-USD,2021-02-01T00:00:00Z,Now,60
OMG-USD,2021-02-01T00:00:00Z,Now,60
XLM-USD,2021-02-01T00:00:00Z,Now,60
CGLD-USD,2021-02-01T00:00:00Z,Now,60
BNT-USD,2021-02-01T00:00:00Z,Now,60
UMA-USD,2021-02-01T00:00:00Z,Now,60
YFI-USD,2021-02-01T00:00:00Z,Now,60
BAL-USD,2021-02-01T00:00:00Z,Now,60
BCH-USD,2021-02-01T00:00:00Z,Now,60